"Town","FIPS","Year","Abused Substance","Outcome","Measure Type","Variable","Value"
"Andover",901301080,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Ansonia",900901220,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Ashford",901501430,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Avon",900302060,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Barkhamsted",900502760,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Beacon Falls",900903250,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Berlin",900304300,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",16
"Bethany",900904580,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Bethel",900104720,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Bethlehem",900504930,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Bloomfield",900305910,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Bolton",901306260,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Bozrah",901106820,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Branford",900907310,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Bridgeport",900108070,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",69
"Bridgewater",900508210,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Bristol",900308490,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",35
"Brookfield",900108980,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Brooklyn",901509190,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Burlington",900310100,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Canaan",900510940,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Canterbury",901512130,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Canton",900312270,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Chaplin",901513810,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Cheshire",900914160,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Chester",900714300,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Clinton",900715350,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Colchester",901115910,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Colebrook",900516050,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Columbia",901316400,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Connecticut",9,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1793
"Cornwall",900517240,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Coventry",901317800,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Cromwell",900718080,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"Danbury",900118500,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",44
"Darien",900118850,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Deep River",900719130,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Derby",900919550,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Durham",900720810,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"East Granby",900322070,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"East Haddam",900722280,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"East Hampton",900722490,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"East Hartford",900322630,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",24
"East Haven",900922910,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",17
"East Lyme",901123400,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"East Windsor",900324800,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Eastford",901521860,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Easton",900123890,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Ellington",901325360,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Enfield",900325990,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",21
"Essex",900726270,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Fairfield",900126620,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",31
"Farmington",900327600,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",16
"Franklin",901129910,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Glastonbury",900331240,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",19
"Goshen",900532290,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Granby",900332640,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Greenwich",900133620,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",27
"Griswold",901133900,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Groton",901134250,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",27
"Guilford",900934950,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",15
"Haddam",900735230,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Hamden",900935650,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Hampton",901536000,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Hartford",900337070,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",39
"Hartland",900337140,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Harwinton",900537280,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Hebron",901337910,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Kent",900540290,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Killingly",901540500,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",17
"Killingworth",900740710,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Lebanon",901142390,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Ledyard",901142600,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Lisbon",901143230,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Litchfield",900543370,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Lyme",901144210,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Madison",900944560,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Manchester",900344700,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",25
"Mansfield",901344910,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Marlborough",900345820,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Meriden",900946520,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",26
"Middlebury",900946940,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Middlefield",900747080,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Middletown",900747360,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",26
"Milford",900947535,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",26
"Monroe",900148620,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Montville",901148900,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",19
"Morris",900549460,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Naugatuck",900949950,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"New Britain",900350440,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",23
"New Canaan",900150580,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"New Fairfield",900150860,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"New Hartford",900551350,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"New Haven",900952070,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",67
"New London",901152350,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",18
"New Milford",900552630,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Newington",900352140,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",16
"Newtown",900152980,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Norfolk",900553470,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"North Branford",900953890,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"North Canaan",900554030,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"North Haven",900954870,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",23
"North Stonington",901155500,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Norwalk",900156060,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",36
"Norwich",901156270,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",44
"Old Lyme",901157040,2002,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
